,principal component 1,principal component 2,borough,clusters
406,-0.848109871,-0.255394022,StatenIsland,0
407,-1.490266468,2.690815041,StatenIsland,1
408,0.313783834,1.421568924,StatenIsland,0
409,0.224913934,3.041449231,StatenIsland,0
410,-2.712327284,3.117202635,StatenIsland,1
411,-1.725660685,2.995918416,StatenIsland,1
412,0.985569898,0.93586849,StatenIsland,2
413,-5.83349697,0.16259248,StatenIsland,1
414,-0.682931182,-0.419122879,Brooklyn,0
415,1.787907041,-0.010714718,Brooklyn,2
416,1.001803508,-0.235810525,Brooklyn,2
417,1.551178767,-0.032000514,Brooklyn,2
418,0.115315545,-0.752981645,Brooklyn,0
419,-3.07694463,-1.139309996,Brooklyn,1
420,1.030702911,-0.101416818,Brooklyn,2
